Id_Registro;fecha_infraccion;Año;Mes;Id_Tipo;id_canton;Id_Provincia;Id_Arma;Id_Motivacion
262;2014-03-02;2014;MARZO;2;159;8;1;2
263;2014-03-03;2014;MARZO;1;168;10;3;2
264;2014-03-03;2014;MARZO;1;76;10;2;1
265;2014-03-03;2014;MARZO;2;76;10;1;2
266;2014-03-03;2014;MARZO;1;76;10;1;1
267;2014-03-04;2014;MARZO;2;161;19;2;1
268;2014-03-04;2014;MARZO;1;76;10;2;1
269;2014-03-04;2014;MARZO;1;185;20;3;1
270;2014-03-05;2014;MARZO;1;62;8;1;2
271;2014-03-05;2014;MARZO;1;76;10;1;1
272;2014-03-05;2014;MARZO;2;76;10;4;1
273;2014-03-06;2014;MARZO;1;191;22;1;2
274;2014-03-06;2014;MARZO;1;191;22;1;1
275;2014-03-07;2014;MARZO;1;104;10;4;2
276;2014-03-07;2014;MARZO;1;14;13;1;2
277;2014-03-08;2014;MARZO;2;145;14;2;3
278;2014-03-08;2014;MARZO;1;159;8;1;2
279;2014-03-08;2014;MARZO;1;59;10;2;3
280;2014-03-08;2014;MARZO;1;62;8;1;2
281;2014-03-08;2014;MARZO;1;51;10;3;1
282;2014-03-08;2014;MARZO;1;76;10;1;2
283;2014-03-08;2014;MARZO;2;161;19;1;1
284;2014-03-08;2014;MARZO;1;76;10;1;2
285;2014-03-09;2014;MARZO;1;90;23;2;1
286;2014-03-09;2014;MARZO;1;61;10;1;1
287;2014-03-09;2014;MARZO;1;96;12;6;1
288;2014-03-09;2014;MARZO;1;112;8;1;2
289;2014-03-09;2014;MARZO;1;102;19;2;2
290;2014-03-09;2014;MARZO;2;159;8;5;3
291;2014-03-10;2014;MARZO;2;100;7;1;1
292;2014-03-10;2014;MARZO;1;76;10;1;3
293;2014-03-11;2014;MARZO;1;24;1;1;2
294;2014-03-11;2014;MARZO;2;171;10;2;1
295;2014-03-11;2014;MARZO;1;201;15;2;2
296;2014-03-12;2014;MARZO;2;212;13;3;1
297;2014-03-12;2014;MARZO;1;62;8;1;2
298;2014-03-12;2014;MARZO;2;161;19;2;3
299;2014-03-13;2014;MARZO;1;76;10;1;1
300;2014-03-13;2014;MARZO;1;76;10;2;3
301;2014-03-13;2014;MARZO;1;76;10;1;2
302;2014-03-13;2014;MARZO;1;171;10;5;1
303;2014-03-13;2014;MARZO;1;80;10;5;2
304;2014-03-13;2014;MARZO;1;76;10;1;1
305;2014-03-13;2014;MARZO;1;76;10;1;1
306;2014-03-13;2014;MARZO;1;156;13;1;2
307;2014-03-13;2014;MARZO;1;156;13;1;2
308;2014-03-13;2014;MARZO;1;76;10;1;2
309;2014-03-14;2014;MARZO;1;100;7;1;2
310;2014-03-15;2014;MARZO;1;76;10;2;2
311;2014-03-15;2014;MARZO;1;174;2;1;2
312;2014-03-16;2014;MARZO;2;19;4;2;1
313;2014-03-16;2014;MARZO;2;13;13;1;3
314;2014-03-16;2014;MARZO;2;159;8;2;1
315;2014-03-16;2014;MARZO;1;76;10;1;1
316;2014-03-16;2014;MARZO;1;76;10;1;1
317;2014-03-16;2014;MARZO;1;62;8;2;2
318;2014-03-16;2014;MARZO;1;62;8;2;1
319;2014-03-16;2014;MARZO;1;100;7;1;2
320;2014-03-17;2014;MARZO;1;96;12;2;1
321;2014-03-17;2014;MARZO;1;156;13;1;2
322;2014-03-17;2014;MARZO;2;62;8;2;3
323;2014-03-18;2014;MARZO;1;156;13;1;1
324;2014-03-19;2014;MARZO;1;87;20;1;2
325;2014-03-19;2014;MARZO;2;161;19;3;2
326;2014-03-20;2014;MARZO;1;136;10;1;2
327;2014-03-20;2014;MARZO;1;136;10;1;2
328;2014-03-20;2014;MARZO;1;191;22;2;1
329;2014-03-20;2014;MARZO;1;45;10;3;2
330;2014-03-21;2014;MARZO;1;85;22;3;2
331;2014-03-21;2014;MARZO;1;76;10;2;1
332;2014-03-21;2014;MARZO;1;148;13;1;2
333;2014-03-21;2014;MARZO;1;148;13;1;2
334;2014-03-21;2014;MARZO;1;148;13;1;2
335;2014-03-21;2014;MARZO;1;21;13;1;1
336;2014-03-22;2014;MARZO;1;25;16;3;1
337;2014-03-22;2014;MARZO;2;46;1;2;2
338;2014-03-22;2014;MARZO;1;145;14;2;2
339;2014-03-22;2014;MARZO;1;76;10;2;1
340;2014-03-22;2014;MARZO;1;13;13;1;1
341;2014-03-22;2014;MARZO;1;55;7;2;1
342;2014-03-22;2014;MARZO;2;161;19;2;3
343;2014-03-22;2014;MARZO;1;106;13;1;1
344;2014-03-22;2014;MARZO;1;101;14;3;3
345;2014-03-22;2014;MARZO;1;203;4;1;2
346;2014-03-23;2014;MARZO;1;76;10;1;2
347;2014-03-23;2014;MARZO;1;76;10;1;1
348;2014-03-23;2014;MARZO;1;191;22;1;2
349;2014-03-23;2014;MARZO;1;191;22;3;2
350;2014-03-23;2014;MARZO;2;156;13;1;2
351;2014-03-23;2014;MARZO;1;191;22;1;3
352;2014-03-23;2014;MARZO;1;213;13;2;2
353;2014-03-24;2014;MARZO;2;191;22;5;2
354;2014-03-24;2014;MARZO;2;135;14;1;3
355;2014-03-25;2014;MARZO;1;211;13;2;1
356;2014-03-25;2014;MARZO;2;191;22;1;2
357;2014-03-26;2014;MARZO;1;48;23;1;2
358;2014-03-26;2014;MARZO;2;191;22;1;2
359;2014-03-26;2014;MARZO;2;161;19;1;2
360;2014-03-26;2014;MARZO;2;161;19;1;2
361;2014-03-26;2014;MARZO;1;191;22;2;1
362;2014-03-26;2014;MARZO;1;53;14;1;1
363;2014-03-26;2014;MARZO;1;62;8;2;2
364;2014-03-27;2014;MARZO;2;161;19;2;1
365;2014-03-27;2014;MARZO;2;101;14;2;2
366;2014-03-27;2014;MARZO;2;161;19;5;3
367;2014-03-28;2014;MARZO;2;100;7;4;3
368;2014-03-28;2014;MARZO;1;1;14;1;2
369;2014-03-28;2014;MARZO;1;76;10;1;2
370;2014-03-28;2014;MARZO;2;99;12;2;1
371;2014-03-28;2014;MARZO;1;76;10;1;2
372;2014-03-29;2014;MARZO;1;76;10;1;2
373;2014-03-29;2014;MARZO;2;161;19;2;2
374;2014-03-29;2014;MARZO;2;191;22;2;2
375;2014-03-29;2014;MARZO;2;156;13;1;1
376;2014-03-29;2014;MARZO;2;151;19;1;1
377;2014-03-30;2014;MARZO;2;161;19;2;1
378;2014-03-30;2014;MARZO;2;85;22;3;1
379;2014-03-31;2014;MARZO;3;76;10;1;2
380;2014-03-31;2014;MARZO;1;21;13;1;2
381;2014-03-31;2014;MARZO;1;101;14;1;2
382;2014-04-01;2014;ABRIL;2;161;19;2;1
383;2014-04-02;2014;ABRIL;2;195;23;1;2
384;2014-04-02;2014;ABRIL;1;145;14;1;2
385;2014-04-02;2014;ABRIL;1;76;10;1;2
386;2014-04-02;2014;ABRIL;2;208;14;2;3
387;2014-04-02;2014;ABRIL;2;161;19;2;2
388;2014-04-03;2014;ABRIL;1;100;7;1;2
389;2014-04-04;2014;ABRIL;1;49;10;5;1
390;2014-04-04;2014;ABRIL;1;136;10;1;2
391;2014-04-04;2014;ABRIL;1;136;10;1;2
392;2014-04-04;2014;ABRIL;1;49;10;1;2
393;2014-04-04;2014;ABRIL;1;49;10;1;2
394;2014-04-04;2014;ABRIL;1;7;18;2;1
395;2014-04-04;2014;ABRIL;1;7;18;2;1
396;2014-04-04;2014;ABRIL;2;161;19;2;1
397;2014-04-05;2014;ABRIL;2;161;19;2;1
398;2014-04-05;2014;ABRIL;2;89;4;5;6
399;2014-04-06;2014;ABRIL;2;76;10;2;2
400;2014-04-07;2014;ABRIL;1;5;24;2;3
401;2014-04-07;2014;ABRIL;1;5;24;6;3
402;2014-04-07;2014;ABRIL;1;76;10;1;1
403;2014-04-07;2014;ABRIL;1;76;10;1;2
404;2014-04-07;2014;ABRIL;1;99;12;1;2
405;2014-04-07;2014;ABRIL;1;159;8;1;1
406;2014-04-07;2014;ABRIL;3;104;10;1;2
407;2014-04-07;2014;ABRIL;1;156;13;1;1
408;2014-04-08;2014;ABRIL;1;125;10;1;2
409;2014-04-08;2014;ABRIL;1;173;8;1;2
410;2014-04-09;2014;ABRIL;1;161;19;1;2
411;2014-04-09;2014;ABRIL;1;161;19;1;2
412;2014-04-09;2014;ABRIL;1;104;10;2;2
413;2014-04-09;2014;ABRIL;1;46;1;2;2
414;2014-04-09;2014;ABRIL;1;161;19;1;2
415;2014-04-10;2014;ABRIL;3;76;10;1;2
416;2014-04-10;2014;ABRIL;1;46;1;5;2
417;2014-04-10;2014;ABRIL;1;76;10;1;1
418;2014-04-10;2014;ABRIL;1;191;22;2;3
419;2014-04-11;2014;ABRIL;1;76;10;3;1
420;2014-04-11;2014;ABRIL;1;89;4;2;2
421;2014-04-11;2014;ABRIL;1;87;20;2;2
422;2014-04-11;2014;ABRIL;1;191;22;1;1
423;2014-04-11;2014;ABRIL;1;138;19;5;3
424;2014-04-12;2014;ABRIL;1;90;23;1;2
425;2014-04-12;2014;ABRIL;1;76;10;2;2
426;2014-04-12;2014;ABRIL;1;112;8;1;2
427;2014-04-12;2014;ABRIL;1;115;10;1;2
428;2014-04-12;2014;ABRIL;1;213;13;1;1
429;2014-04-12;2014;ABRIL;1;211;13;1;1
430;2014-04-12;2014;ABRIL;1;55;7;1;2
431;2014-04-13;2014;ABRIL;1;76;10;1;1
432;2014-04-13;2014;ABRIL;2;76;10;1;2
433;2014-04-13;2014;ABRIL;2;161;19;5;2
434;2014-04-13;2014;ABRIL;1;139;14;1;1
435;2014-04-13;2014;ABRIL;1;44;11;3;1
436;2014-04-14;2014;ABRIL;1;62;8;1;1
437;2014-04-15;2014;ABRIL;1;76;10;1;2
438;2014-04-15;2014;ABRIL;1;76;10;1;2
439;2014-04-15;2014;ABRIL;1;210;13;1;2
440;2014-04-16;2014;ABRIL;2;161;19;1;1
441;2014-04-17;2014;ABRIL;1;46;1;2;1
442;2014-04-17;2014;ABRIL;1;131;7;1;3
443;2014-04-18;2014;ABRIL;2;191;22;2;1
444;2014-04-18;2014;ABRIL;1;24;1;1;1
445;2014-04-18;2014;ABRIL;1;65;14;2;1
446;2014-04-19;2014;ABRIL;1;156;13;1;2
447;2014-04-19;2014;ABRIL;2;161;19;3;2
448;2014-04-19;2014;ABRIL;1;99;12;1;2
449;2014-04-19;2014;ABRIL;1;213;13;1;2
450;2014-04-19;2014;ABRIL;2;188;7;3;2
451;2014-04-19;2014;ABRIL;1;42;10;2;1
452;2014-04-19;2014;ABRIL;2;19;4;2;1
453;2014-04-20;2014;ABRIL;1;144;7;1;2
454;2014-04-20;2014;ABRIL;2;161;19;2;1
455;2014-04-20;2014;ABRIL;1;79;11;2;3
456;2014-04-20;2014;ABRIL;2;161;19;2;1
457;2014-04-20;2014;ABRIL;1;213;13;1;1
458;2014-04-20;2014;ABRIL;2;131;7;1;2
459;2014-04-21;2014;ABRIL;1;90;23;1;2
460;2014-04-21;2014;ABRIL;1;90;23;1;2
461;2014-04-21;2014;ABRIL;1;90;23;1;2
462;2014-04-21;2014;ABRIL;2;76;10;2;2
463;2014-04-21;2014;ABRIL;1;85;22;2;3
464;2014-04-21;2014;ABRIL;2;59;10;5;3
465;2014-04-21;2014;ABRIL;2;119;17;3;2
466;2014-04-22;2014;ABRIL;1;191;22;2;1
467;2014-04-24;2014;ABRIL;2;89;4;2;1
468;2014-04-24;2014;ABRIL;1;55;7;1;1
469;2014-04-24;2014;ABRIL;1;76;10;1;2
470;2014-04-24;2014;ABRIL;1;76;10;1;2
471;2014-04-24;2014;ABRIL;1;168;10;1;2
472;2014-04-24;2014;ABRIL;1;96;12;3;1
473;2014-04-24;2014;ABRIL;1;156;13;1;2
474;2014-04-25;2014;ABRIL;1;90;23;1;1
475;2014-04-25;2014;ABRIL;2;90;23;1;2
476;2014-04-25;2014;ABRIL;2;161;19;2;2
477;2014-04-25;2014;ABRIL;1;168;10;1;7
478;2014-04-25;2014;ABRIL;2;161;19;4;2
479;2014-04-26;2014;ABRIL;1;135;14;1;2
480;2014-04-26;2014;ABRIL;1;156;13;1;2
481;2014-04-26;2014;ABRIL;2;151;19;1;1
482;2014-04-27;2014;ABRIL;1;132;18;2;2
483;2014-04-27;2014;ABRIL;2;21;13;1;2
484;2014-04-27;2014;ABRIL;1;76;10;1;2
485;2014-04-27;2014;ABRIL;1;76;10;1;2
486;2014-04-27;2014;ABRIL;1;179;3;2;1
487;2014-04-27;2014;ABRIL;1;163;8;1;2
488;2014-04-27;2014;ABRIL;1;156;13;1;2
489;2014-04-27;2014;ABRIL;1;173;8;2;2
490;2014-04-28;2014;ABRIL;2;161;19;3;2
491;2014-04-28;2014;ABRIL;2;161;19;3;2
492;2014-04-28;2014;ABRIL;1;100;7;1;2
493;2014-04-28;2014;ABRIL;1;100;7;1;2
494;2014-04-28;2014;ABRIL;1;100;7;1;2
495;2014-04-28;2014;ABRIL;1;100;7;1;2
496;2014-04-29;2014;ABRIL;1;90;23;1;1
497;2014-04-29;2014;ABRIL;1;153;23;1;2
498;2014-04-30;2014;ABRIL;2;62;8;1;1
499;2014-04-30;2014;ABRIL;2;194;1;5;1
